tcp,1,1,1783200
tcp,1,1,695800
tcp,1,1,0
tcp,1,1,1128000
tcp,1,1,379700
tcp,1,1,756000
tcp,1,1,956400
tcp,1,1,1620600
tcp,1,1,2698000
tcp,1,1,1498500
tcp,1,1,1753200
tcp,1,1,1704500
tcp,1,1,7226100
tcp,1,1,6312200
tcp,1,1,3493200
tcp,1,1,13911700
tcp,1,1,1705800
tcp,1,1,109400
tcp,1,1,2872800
tcp,1,1,736000
tcp,1,1,1889500
tcp,1,1,1020900
tcp,1,1,952500
tcp,1,1,872200
tcp,1,1,952600
tcp,1,1,8389200
tcp,1,1,1197800
tcp,1,1,4085000
tcp,1,1,1614000
tcp,1,1,1037400
tcp,1,1,1135400
tcp,1,1,3719300
tcp,1,1,1138300
tcp,1,1,3338500
tcp,1,1,1240700
tcp,1,1,2351900
tcp,1,1,504200
tcp,1,1,658500
tcp,1,1,1017500
tcp,1,1,1631800
tcp,1,1,1093300
tcp,1,1,893100
tcp,1,1,1395400
tcp,1,1,1332400
tcp,1,1,1033900
tcp,1,1,1095500
tcp,1,1,1754900
tcp,1,1,1021400
tcp,1,1,1372500
tcp,1,1,0
tcp,1,1,1622000
tcp,1,1,1074400
tcp,1,1,1396800
tcp,1,1,750600
tcp,1,1,1176600
tcp,1,1,895800
tcp,1,1,863500
tcp,1,1,3137300
tcp,1,1,802500
tcp,1,1,1603900
tcp,1,1,902400
tcp,1,1,1760600
tcp,1,1,1668600
tcp,1,1,3519400
tcp,1,1,1023500
tcp,1,1,825300
tcp,1,1,1223700
tcp,1,1,1042400
tcp,1,1,915700
tcp,1,1,877000
tcp,1,1,1741400
tcp,1,1,856100
tcp,1,1,797800
tcp,1,1,4609400
tcp,1,1,1004800
tcp,1,1,1081400
tcp,1,1,3665200
tcp,1,1,3160200
tcp,1,1,1839700
tcp,1,1,9388900
tcp,1,1,1150700
tcp,1,1,755200
tcp,1,1,852200
tcp,1,1,926000
tcp,1,1,1687100
tcp,1,1,1203400
tcp,1,1,824500
tcp,1,1,2905600
tcp,1,1,1352400
tcp,1,1,1813600
tcp,1,1,1362900
tcp,1,1,1739200
tcp,1,1,761700
tcp,1,1,2250900
tcp,1,1,4061300
tcp,1,1,1299500
tcp,1,1,994500
tcp,1,1,915300
tcp,1,1,1557400
